,country,count,points
0,Argentina,3800,86.71026315789474
1,Armenia,2,87.5
2,Australia,2329,88.58050665521684
3,Austria,3345,90.10134529147982
4,Bosnia and Herzegovina,2,86.5
5,Brazil,52,84.67307692307692
6,Bulgaria,141,87.93617021276596
7,Canada,257,89.36964980544747
8,Chile,4472,86.4935152057245
9,China,1,89.0
10,Croatia,73,87.21917808219177
11,Cyprus,11,87.18181818181819
12,Czech Republic,12,87.25
13,Egypt,1,84.0
14,England,74,91.58108108108108
15,France,22093,88.84510931064138
16,Georgia,86,87.68604651162791
17,Germany,2165,89.85173210161663
18,Greece,466,87.28326180257511
19,Hungary,146,89.1917808219178
20,India,9,90.22222222222223
21,Israel,505,88.47128712871287
22,Italy,19540,88.56223132036847
23,Lebanon,35,87.68571428571428
24,Luxembourg,6,88.66666666666667
25,Macedonia,12,86.83333333333333
26,Mexico,70,85.25714285714285
27,Moldova,59,87.20338983050847
28,Morocco,28,88.57142857142857
29,New Zealand,1419,88.3030303030303
30,Peru,16,83.5625
31,Portugal,5691,88.25021964505359
32,Romania,120,86.4
33,Serbia,12,87.5
34,Slovakia,1,87.0
35,Slovenia,87,88.06896551724138
36,South Africa,1401,88.05638829407566
37,Spain,6645,87.28833709556058
38,Switzerland,7,88.57142857142857
39,Turkey,90,88.08888888888889
40,US,54504,88.56372009393806
41,Ukraine,14,84.07142857142857
42,Uruguay,109,86.75229357798165
